No,Tanggal Laporan,No laporan,Jenis Pesawat,Tanggal Kecelakaan,Lokasi,Sinopsis
23, ,KNKT.15.10.24.04,Tecnam P2006T Aircraft,20-Oct-15,"Nusawiru Airport, Pangandaran, West Java Republic of Indonesia","A Tecnam P2006T aircraft, registration PK-LTK was being operated by PT. Asian One Air 
on 20 October 2015 as unscheduled solo flight training.The purpose of this flight was to gain 
flight hour for a new recruited pilot. The flight was planned from Husein Sastranegara Airport 
(WICC) Bandung, West Java to Nusawiru Airport (WICN) Pangandaran, West Java and
return to Bandung.
The aircraft departed Husein Sastranegara Airport, Bandung at 0950 LT (0250 UTC), cruised 
at altitude of 7,500 feet and scheduled to arrive Nusawiru Airport at 0310 UTC. The pilot was 
the only occupant in this flight.
There was no aircraft technical system abnormality or problem reported prior to the departure 
until the time of occurrence. The flight from Husein Sastranegara Airport until descend was 
uneventful. 
At 0257 UTC the pilot reported to Nusawiru Aerodrome Flight Information Services (AFIS) 
officer the position over TASIK (Tasikmalaya) at 7,500 feet. 
The weather during approach applicable for Visual Flight Rules (VFR) and the wind was 
easterly with velocity of 7 knots. 
There were eight other aircraft flying in the vicinity of the airport which consisted of five 
aircraft conducting area training exercise, one on touch and go training, one departure aircraft 
and one arrival aircraft. There were also two other aircraft on the ground ready for taxi out.
At the about 15 Nm before Nusawiru Airport, the aircraft descended to altitude 2,000 ftthen
direct to final runway 07 for landing. The pilot stated that during on final he set the landing 
configuration and read the checklist. 
At 0316 UTC, the aircraft landed on runway 07 of Nusawiru Airport. After touchdown, the 
pilot informed to the AFIS personnel that the aircraft landing gear was not extended. The pilot 
did not recall activation warning. The pilot shut down engines and evacuated the aircraft. The 
aircraft stop about 400 meters from touchdown point.
No one injured in this serious incident. The aircraft lower fuselage skin and the VOR/DME 
antenna damage.
The investigation concluded the contributing factors to this serious incident were: 
 The flap full down position with landing gear UP did not trigger the landing gear warning 
lead to the pilot did not aware that the landing gear had not been extended.
 Stress and fatigue might degrade the human performance combined with inappropriate 
checklist execution resulted to the landing gear not extended.
Komite Nasional Keselamatan Transportasi issued safety recommendations to the aircraft 
operator, aircraft maintenance provider, and Directorate General of Civil Aviation to address 
the safety issues identified in this investigation."
24,25-Jun-21,KNKT.15.10.23.04,ATR 72-212A,19-Oct-15,"H. Hasan Aroeboesman Airport, Ende
Republic of Indonesia","On 19 October 2015, an ATR 72-600 aircraft, registered PK-GAF was being operated by PT. 
Garuda Indonesia on a scheduled passenger flight from El Tari Airport (WATT), Kupang to 
H. Hasan Aroeboesman Airport (WATE), Ende.
At 0445 UTC, the aircraft departed from Kupang and the flight until commenced for approach 
to Ende was uneventful. The Pilot in Command (PIC) acted as pilot flying (PF) while Second 
in Command (SIC) acted as pilot monitoring (PM). 
At 0537 UTC, the SIC advised to the Ende Aeronautic Communication Officer (ACO) that 
the aircraft was turning on final runway 27. The ACO responded that the wind direction was 
150° with velocity of 18 knots and advised that the runway was clear. According to pilot 
observation, the weather was clear without scattered cumulus. On short final, the SIC checked 
the wind shock located on the right side of beginning runway and was coherent to the 
information of the wind condition from the ACO.
The aircraft touched down on the touchdown zone with nose wheel touched the runway first 
and bounced to the left of runway centerline. The aircraft then experienced the second 
touchdown on the left shoulder of the runway. During the second bounce, the master warning 
light illuminated consisted with the “Pitch Disconnect” warning on the Engine and Warning
Display (EWD). The flight crew applied significant dual and opposite control columns inputs 
(leading to pitch uncoupling mechanism activation) - pitch down by the PIC on left seat and 
pitch up by the SIC on right seat (pitch up authority is higher).
After the second bounce, the Flight Data Recorder (FDR) recorded an increasing value of 
TQs. The pilot performed a go around and turned right to avoid obstacle at the end of the 
runway 27. Both pilots assessed situation and decided to divert to Labuan Bajo. The flight 
continued uneventfully and landed safely at Labuan Bajo.
The investigation determined that the aircraft airworthiness serviceability was not an issue on 
this occurrence. Therefore, the analysis discusses the landing technique and pilot 
coordination. The investigation concluded the contributing factors of the occurrence as 
follows:
 Continuation of unstabilized approach with too much speed and nose down attitude 
resulted in the nose wheel touched the runway first, and with the roll about 3° to the left 
made the aircraft bounce to the left of runway centerline. 
 The absence of immediate go around initiation after the first bounce resulted in the aircraft 
made second touched down on the left shoulder of the runway.
The KNKT acknowledged the safety actions taken by the Garuda Indonesia and considered 
relevant to address the safety issue identified in this report. However, there were safety issue 
remains to be considered. Therefore, the KNKT issues safety recommendations to the Garuda 
Indonesia to address safety issues identified in this report.
"
25,,"KNKT.15.10.22.04
",Eurocopter EC130 B4,11-Oct-15,"Toba Lake, North Sumatera
Republic of Indonesia","The Komite Nasional Keselamatan Transportasi (KNKT) Policies and Procedures Manual, 
described that reporting of an accident involving fatality shall be published in full report. In 
this accident, the aircraft wreckage was not recovered and limited information available. The 
main information was only from the survival passenger. In order to prevent several sub headings with no information, KNKT publish the investigation report for this accident in short 
report format. The purposes of the investigation to determine the contributing factors and 
improve safety are maintained.
Eurocopter (Airbus Helicopter) EC130 B4 helicopter, registration PK-BKA was being 
operated by PT. Penerbangan Angkasa Semesta (PT. PAS) on 11 October 2015 as 
unscheduled chartered flight. The flight was planned from Kualanamu International Airport
(Kualanamu) – Siparmahan and return. The helicopter departed Siparmahan at 1133 LT, on 
board in this flight were five persons consisted of one pilot, one engineer, and three 
passengers which were from the charterer agency.
During the flight the helicopter entered a condition and the visibility decreased significantly 
that might result in spatial disorientation to the pilot.
The helicopter impacted to the water, all occupants evacuated and floated used the seat 
cushions. On 13 October 2015 one survived passenger was rescued.
The investigation determines the contributing factors to this accident were:
 The pilot experienced of spatial disorientation during flying on low visibility resulted in 
the inability to determine aircraft attitude and position;
 Unavailability of individual flotation devices and un-inflated of aircraft flotation device
decreased the occupant survivability. 
The aircraft operator had performed several safety actions prior to the publishing of this 
investigation report.
Komite Nasional Keselamatan Transportasi (KNKT) issued safety recommendations 
addressed to PT. Penerbangan Angkasa Semesta, Directorate General of Civil Aviation 
(DGCA) and BASARNAS."
26, ,KNKT 15.10.21.04,DHC-6 Twin Otter,2-Oct-15,"at coordinate 3° 25' 52.80"" S, 120° 4' 12.10"" E District of Luwu, South Sulawesi Republic of Indonesia","On 2 October 2015, a DHC-6-300 Twin Otter, registered PK-BRM was being operated by PT. 
Aviastar Mandiri on a scheduled passenger service flight from Masamba (WAFM) to 
Makassar (WAAA) with flight number MV 7503. The aircraft departed from Masamba at 
0625 UTC (1425 LT), cruised at altitude 8,000 feet and estimated time of arrival Makassar at 
0739 UTC. On board on this flight were 10 persons consist of two pilots, one company 
engineer and seven passengers (four adults, one child and two infants).
The flight from Masamba to Makassar was the 6th flight sector of the day and the weather on 
the previous flights were clear. During cruising, at approximately 22 Nm from Masamba, the
pilots decided to deviate the flight from the company VFR routes to fly direct to BARRU.
At 0651 UTC, the CVR stopped recording. The CVR did not record Enhanced Ground 
Proximity Warning System (EGPWS) aural caution and warning prior to the impact. The 
investigation could not determine the reason of the absence of the EGPWS aural warning.
On 5 October 2015, the aircraft wreckage was found on top of Bajaja Mount, Dusun Gamaru, 
Desa Ulusalu, Kabupaten Luwu, South Sulawesi on the coordinate of 3° 25' 52.80"" S, 120° 4'
12.10"" E. The BASARNAS did not receive any signal from the aircraft Emergency Locator 
Transmitter (ELT).
All occupants were fatally injured and the aircraft was destroyed by impact force and post 
impact fire.
The investigation concluded the contributing factors to the accident: deviation from the 
company visual route without properly considering the elevated risks of cruising altitude 
lower than the highest terrain and instrument meteorological condition in addition with the
absence of the EGPWS warning resulted in the omission of avoidance actions.
PT. Aviastar Mandiri had been performed several safety actions following this occurrence. 
Komite Nasional Keselamatan Transportasi (KNKT) considered that the safety actions were 
relevant to improve safety. In addition, KNKT issued safety recommendation to PT. Aviastar 
Mandiri and Directorate General of Civil Aviation."
27, ,KNKT.15.08.20.04,Boeing 737-300 F,28-Aug-15,"Wamena Airport
Republic of Indonesia","On 28 August 2015 a Boeing 737-300 Freighter, registered PK-BBY was being operated by 
PT. Cardig Air on a scheduled cargo flight from Sentani Airport (WAJJ) Jayapura to Wamena 
Airport (WAVV) Papua, Indonesia.
At 1234 LT (0334 UTC), the aircraft departed to Wamena and on board the aircraft were two 
pilots, and 14,610 kg of cargo. The Pilot in Command (PIC) acted as Pilot Flying (PF) while 
the Second in Command (SIC) who was under line training acted as Pilot Monitoring (PM). 
There was no reported or recorded aircraft system abnormality during the flight until the time 
of occurrence. 
When the aircraft approaching PASS VALLEY, the Wamena Tower controller provided 
information that the runway in use was runway 15 and the wind was 150°/18 knots, QNH was 
1,003 mbs and temperature was 23 °C.
At 0646 UTC, the aircraft was on final runway 15 and Wamena Tower controller issued
landing clearance with additional information of wind 150°/15 knots and QNH 1,003 mbs.
At 0647 UTC, the aircraft touched down about 35 meter before the beginning runway 15 with 
vertical acceleration of 3.68 G. The left main landing gear collapsed and the left engine 
contacted to the runway surface. The aircraft stopped at about 1,500 meters from runway 
threshold. 
No one was injured on this occurrence.
The analysis on this Final Report discussed the relevant issues resulting in the under-shooting 
and the landing gear damage involving a Boeing 737-300 aircraft. The investigation 
determined the contributing factor was the large thrust reduction during the windshear 
resulted in rapid descend and the aircraft touched down with 3.683 G then collapsed the 
landing gear that had strength degradation.
At the time of issuing this report, the Komite Nasional Keselamatan Transportasi had been 
informed of safety actions resulting from the PT. Cardig Air. While the KNKT acknowledges 
the safety actions taken by the Merpati Pilot School, there still remain safety issues that need 
to be considered.
As a result of this investigation, the KNKT issued safety recommendations to address safety 
issues identified in this report to the PT. Cardig Air, AirNav Indonesia, Wamena Airport and 
Directorate General of Civil Aviation.
"
28, ,KNKT.15.08.18.04,Airbus 330-200,22-Aug-15,Inflight from Melbourne to Jakarta,"On 22 August 2015, an Airbus 330-200 aircraft, registered PK-GPO, was being operated by 
PT. Garuda Indonesia on a scheduled passenger flight from Tullamarine International Airport, 
Melbourne, Australia to Soekarno-Hatta International Airport, Jakarta, Indonesia with flight 
number GIA 717. There were two pilots, 11 flight attendants and 187 passengers on board.
During cruise and after the flight attendants served lunch, one of the flight attendants put 
pieces of dry ice inside an empty mineral water bottle and loaded it into the refrigerator unit in 
the middle galley.
Approximately 3 minutes after the dry ice was inserted into the refrigeration unit, the unit 
door burst. The refrigeration unit door was thrown towards and injured one of the Flight 
Attendant (FA). 
The other FA made an announcement and found doctor and a paramedic to administered first 
aid to the injured FA. The doctor advised the PIC that the injured FA’s condition was stable,
the bleeding had stopped and it was safe to continue the flight to Jakarta.
The aircraft landed safely at Soekarno-Hatta International Airport, Jakarta. The injured FA 
was transferred to the airport health facility and thereafter to the hospital in town. The injured 
flight attendant was the only person injured in this occurrence.
The investigation concluded that the burst of the refrigeration unit door was due to a result of 
pressure build-up that exceeded the capacity of the safety relief valve due to dry ice being 
placed in the refrigeration unit compartment. The door burst resulted in serious injuries to the 
flight attendant.
PT. Garuda Indonesia has put in several safety actions following this occurence. Komite 
Nasional Keselamatan Transportasi (KNKT) considered that the safety actions were relevant 
to improve safety and prevent reoccurrence. Therefore, KNKT did not issue safety 
recommendation to PT. Garuda Indonesia.
KNKT issued one safety recommendation addressed to the Directorate General of Civil 
Aviation (DGCA)."
29, ,KNKT.15.08.16.04,PAC-750XL,12-Aug-15,"Ninia Airstrip, Yakuhimo, Papua
Republic of Indonesia","On 12 August 2015, a PAC-750XL aircraft, registered PK-KIG, was being operated by PT. 
Komala Indonesia on an unscheduled passenger flight from Wamena Airport (WAJW) Papua 
to Ninia airstrip, Yahukimo, Papua that was located on radial 127° from Wamena with 
distance approximately 26 Nm. On board the aircraft were one pilot, one engineer and 4 
passengers.
Video footage made by a passenger captured the cockpit situation and surrounding area
during the final approach. The video also recorded that during approach, at an altitude of 
approximately 6,500 feet, the airspeed indicators indicated zero and the aural stall warning 
activated. The aircraft then flew to the left side and parallel to the runway. Thereafter it 
climbed, turned left and impacted the ground about 200 meters south-west of the runway.
The engineer on board was fatally injured, one passenger has minor injuries and the other 
occupants, including the pilot, were seriously injured. 
The investigation determined the contributing factors to this accident were:
 Continuing the flight with both airspeed indicators unserviceable increased the 
complexity of the flight combined with high-risk aerodrome increased the pilot 
workload.
 The improper corrective action at the time of the aural stall warning activating on the 
final approach, and the aircraft flew to insufficient area for a safe maneuver.
 The unfamiliarity to the airstrip resulted in inappropriate subsequent escape maneuver 
and resulted in the aircraft stalling.
 The pilot was not provided with appropriate training and familiarization to fly into a 
high-risk airstrip.
Until the issuance of this final report, the Komite Nasional Keselamatan Transportasi (KNKT) 
had not been informed any safety action resulting from this accident.
KNKT issued recommendations to PT. Komala Indonesia and Directorate General of Civil 
Aviation to address the safety issues identified during the investigation"
30, ,KNKT.15.06.13.04,Boeing 737‐800,2-Jun-15,"Sultan Hasanuddin International Airport Makassar
South Sulawesi
Republic of Indonesia","On 2 June 2015, a Boeing 737-800 aircraft, registration PK-GFA was being operated by 
PT. Garuda Indonesia on a scheduled passenger flight from Soekarno-Hatta Airport, 
Jakarta to Sultan Hasanuddin Airport, Makassar. The Pilot in Command (PIC) acted as 
Pilot Flying (PF) while the Second in Command (SIC) acted as Pilot Monitoring (PM). 
The calculation of the required runway length for the estimated aircraft landing weight 
with flaps 30 configuration was approximately 2,100 meters. 
After evaluation of weather condition, the controller changed the runway in use from 
runway 03 to runway 13. During approach on Instrument Landing System (ILS) runway 
13, the crew noticed that on the east of the airport was cloudy, the end of runway 13 was 
raining and approximately 1/4 part of the runway was wet on the end of runway 13. 
At approximately 100 ft Above Ground Level (AGL), the PM informed the PF that refer to 
the data displayed on the Navigation Display (ND), the tail wind was up to 10 kts and cross 
wind 10 kts from the right side of aircraft. 
During landing flare, the thrust levers were closed however the aircraft floated.The Cockpit 
Voice Recorder (CVR) data revealed that the interval between Enhanced Ground 
Proximity Warning System (EGPWS) call ‘ten’ to touchdown was 16 seconds while the 
Flight Data Recorder (FDR) recorded that after passing 20 ft to touchdown was 13 
seconds. Floating for 13 seconds with the current speed it was calculated that the aircraft 
has travelled approximately 1,075 meters. The FDR and airport Closed-circuit Television 
(CCTV) recorded that the aircraft touched down after passing taxiway Charlie. 
The flight crew did not consider a go around as they aware that the takeoff area of the 
runway 13 was mountainous area and might jeopardized the flight. 
The aircraft stopped at the left side of the stopway with the nose landing gear and left main 
landing gear stuck at the mud while the right main landing gear remain on the stopway 
pavement. No one injured on this serious incident."
31,10-Jul-20,KNKT.15.05.12.04,Liberty XL2,29-May-15,"Selaparang Airport, Lombok
Republic of Indonesia","On 29 May 2015, a liberty XL2 aircraft registered PK-LLA was being operated by 
Lombok Institute of Flight Technology (LIFT) on solo touch-and-go circuit
exercises1 at Selaparang Airport, Lombok2
(WADA) and the student pilot was the 
only person on board the aircraft.
Prior the flight, the student pilot was briefed by another student pilot who used the 
PK-LLA aircraft. The other student pilot advised experiencing hard landing however, 
the aircraft condition appeared remain normal. The other student pilot did not 
consider that the hard landing was occurrence that need to be reported. The student 
pilot then conducted preflight check of the aircraft condition and considered that the 
aircraft condition was normal included the nose landing gear.
About 1500 LT (0700 UTC3
), the aircraft departed runway 27 of Lombok with the 
fuel onboard sufficient for three hours flight time, the departure process until the 
third touch and go exercise was uneventful. During landing approach of the fourth 
touch and go, the student pilot used flaps 20° with speed about 75 knots. The aircraft 
touched down and continued rolling with the flaps still on 20°. When the speed was
about 40 knots, the student pilot felt the nose wheel impacted a patched-runway and 
bounced. The aircraft then touched down harder than usual, to recover the bounce, 
the student pilot increased the engine power and continued to go around. 
At 0740 UTC, the air traffic controller (controller) received information from 
aviation security officer that there was a detached nose wheel on the runway. After 
knowing that the detached nose wheel was from PK-LLA aircraft, the controller
informed the situation to the student pilot and instructed to make holding on left 
downwind runway 27. The controller also coordinated with other related units 
including Aircraft Rescue and Fire Fighting (ARFF) and LIFT representative.
At 0750 UTC, chief flight instructor of LIFT (flight instructor) came to tower and 
communicated with the student pilot to calm down the student pilot. The flight 
instructor instructed to perform a slow flight with flap 30° to minimized the aircraft 
speed and to perform low pass over runway 27 for landing gear observation. The 
student pilot performed low pass flying four times over runway 27.
Since the wind direction was from 090° until 120° with velocity of 8 to 10 knots, the 
flight instructor advised the controller to change the runway in use to runway 09 and 
was approved. The flight instructor then instructed the student pilot to exercise a low 
pass on runway 09. The student pilot performed low pass three times over runway 
09. The flight instructor briefed the student pilot of how to make landing approach in 
such condition and advised to switch off ignition, master switch, and fuel selector 
after landing."
32,18-May,KNKT.15.03.08.04,Sikorsky S-76C+,21-Mar-15,"Delta Mahakam River, East Kalimantan Republic of Indonesia","A Sikorsky S-76C+ helicopter, registration PK-FUP was being operated by PT. Hevilift 
Aviation Indonesia, on 21 March 2015 in day light conducted unscheduled charter flight by 
PT. Total E & P Indonesia. The flight was planned from Sepinggan Airport, Balikpapan to 
Handil helipad than continued flying over Central Processing Unit (CPU) to conduct pipe line 
inspection and return to Sepinggan.
At 0118 UTC, the helicopter departed Sepinggan with destination Handil helipad. On board in 
this flight were eight occupants consisted of two pilots, one engineer, one flight operation 
officer (FOO) and four passengers. The Pilot in Command (PIC) acted as Pilot Flying (PF) 
and Second in Command (SIC) acted as Pilot Monitoring (PM). At 0136 UTC, the helicopter 
landed at Handil helipad and refueled up to approximately 1,600 lbs for the preparation to the 
pipe line inspection flight that was estimated would take 2 hours. The passenger doors on both 
sides of the cabin were removed to ease the inspection. 
At 0205 UTC, the helicopter departed from Handil helipad to CPU. On board this flight were 
seven occupants from Sepinggan consist of two pilots, one flight operation officer (FOO) and 
four passengers, while the engineer stayed at Handil.
After reached the cruising altitude of 1,000 feet the PIC handed over the control to the SIC. 
The SIC engaged the autopilot and flew maintain cruise altitude and speed of 95 knot. The 
weather was clear, wind condition was westerly at speed of 5 knots and visibility 
approximately 8 km. At position approximately 8 Nm from CPU the PIC asked the SIC to 
descend to 600 feet with the rate of 200 feet/minute. While passing 800 feet the helicopter 
attitude became un-commanded. The helicopter rolled to the left and pitch up then rolled to 
the right and pitch down. The SIC lowered the collective and reduced the helicopter speed 
with intention to recover the helicopter attitude with no success. The PIC took over the 
control to recover the helicopter until impacted the tree and crash into swamp. All the 
occupants were survived.
KNKT conducted several tests and research and concluded that the separation of rod end 
bearing from the push rod resulted to the helicopter enters un-commanded attitude.
The investigation determined the contributing factor was the helicopter un-commanded 
attitude caused by loosening of the jam nut on the forward rod end bearing which 
subsequently separated from the push rod, resulted in the un-commanded servo movement.
As result of these accidents FAA issued the Airworthiness Directive related to inspection of 
push rod.
KNKT was informed that safety action had been taken by the operator and considered 
relevant to the occurrence. However, as result of the investigation KNKT issued the 
recommendation to the operator and Sikorsky which is relevant to the safety issue."
33, ,KNKT.15.02.04.04,ATR 72‐600,3-Feb-15,"Lombok International Airport
Republic of Indonesia","An ATR 72-600, registration PK–GAG, on 03 February 2015, was being operated by PT. 
Garuda Indonesia as a passenger schedule flight with flight number GA7040 from Ngurah 
Ray International Airport of Bali to Lombok International Airport of West Nusa Tenggara. 
The aircraft departed from Ngurah Ray Airport at 09:10 UTC. On board in this flight were 34 
persons cosisting of three pilots, two flights Attendances and 29 passengers. 
The Second in Command (SIC) who was under line training acted as Pilot Flying (PF) and the 
Pilot in Command (PIC) acted as Pilot Monitoring (PM) and the third pilot who occupied the 
cockpit observer seat was also a pilot under line training. 
At 0952 UTC, the aircraft touched down and bounced three times with left wing up and rolled 
to the right about 2°. The aircraft travelled out of the runway for about 180 meters and 
stopped at approximate 15 meters on the right side of the runway 13. 
After the aircraft stop, the pilot called several “mayday” to the Lombok Tower controller and 
requested for assistance. The pilot then shut off the engines by activation the engine fire 
handle. The flight attendant contacted the pilot and asked for passenger evacuation, the PIC 
instructed to evacuate the passenger via left door. 
The Lombok Tower controller pressed the crash bell and the Airport Rescue and Fire Fighting 
(ARFF) team arrived few minutes later and assisted the passenger evacuation. No one injure 
on this occurrence. 
The investigation concluded that the contributing factorsto this serious incidents are: 
1. Two transfer of control at critical altitude without clear statement might have made that 
pilots not aware who has the full control of the flight and jeopardize the flight when the 
pilot receive the control not fully aware to the condition of the flight. 
2. The handling of the aircraft after bounce was contrary to the wind condition, and the 
application of the right rudder and cross wind condition might have made the aircraft 
turned to the right. 
Prior to issue this draft final report, the Komite Nasional Keselamatan Transportasi (KNKT) 
has received a Notice to Flight Crew regarding to safety actions taken by the operator 
following this serious incident. 
Following the investigation of this serious incident, Komite Nasional Keselamatan 
Transportasi (KNKT) issued several safety recommendations addressed to PT. Garuda 
Indonesia, Lombok International Airport, and Directorate General of Civil Aviation. 
"
34,,KNKT.14.12.29.04,Airbus A320-216,28-Dec-14,Karimata Strait Republic of Indonesia,"Synopsis
On 28 December 2014 an Airbus A320-216 aircraft registered as PK-AXC was cruising at
32,000 feet on a flight from Juanda Airport, Surabaya, Indonesia to Changi Airport,
Singapore with total occupants of 162 persons. The Pilot in Command (PIC) acted as Pilot
Monitoring (PM) and the Second in Command (SIC) acted as Pilot Flying (PF).
The Flight Data Recorder (FDR) recorded that 4 master cautions activated following the
failure of the Rudder Travel Limiter which triggered Electronic Centralized Aircraft
Monitoring (ECAM) message of AUTO FLT RUD TRV LIM SYS. The crew performed the
ECAM procedure on the first three master caution activations. After the 4th master caution,
the FDR recorded different pilot action and the parameters showed similar signature to those
on 25 December 2014 when the FAC CBs were pulled on the ground. This pilot action
resulted on the 5th and 6th master caution activations which correspond respectively to
ECAM message of AUTO FLT FAC 1 FAULT and AUTO FLT FAC 1+2 FAULT
Following two FAC fault, the autopilot and auto-thrust disengaged and the flight control
reverted to Alternate Law which means the aircraft lost several protections available in
Normal Law. The aircraft entered an upset condition and the stall warning activated until the
end of recording.
Participating in the investigation of this accident were Australian ATSB, French BEA,
Singapore AAIB and MOT Malaysia as accredited representatives."
35, ,KNKT.14.11.27.04,S2R-T34 Thrush,30-Nov-14,Near Manado; North Sulawesi Republic of Indonesia,"Based on the Komite Nasional Keselamatan Transportasi (KNKT) Policies and Procedures 
Manual, reporting for an accident involving fatality shall be publish in full report. However, 
limited information available for this accident and to prevent several sub-headings with no 
information, KNKT publish the investigation report for this accident in short report format. 
The purpose of the investigation to determine the contributing factor and improve safety is 
maintained. 
A S2R-T34 Thrush (Thrush 510) was being operated by PT. Elang Nusantara Air (ENA) on a 
positioning flight from Batu Ampar, South Kalimantan with intended final destination was 
Cendrawasih Airstrip, Papua. The first flight departed Batu Ampar on 30 November 2014. 
On 1 December 2014, the flight was cancelled due to weather condition. 
On 2 December 2014 the flight continued from Djalaluddin Airport, Gorontalo with intended 
destination Baabulah Airport of Ternate, North Maluku. The flight departed Gorontalo at 
2323 UTC (0723 LT) and was conducted under Visual Flight Rules (VFR) at altitude 7000 
feet. The flight time estimated to be 2 hours 24 minutes and fuel onboard was suitable for 4 
hours and 30 minutes flight time.
At 0138 UTC, the pilot contacted to Manado Approach controller informed that the flight 
was diverted to Sam Ratulangi Airport of Manado. The aircraft position was 62 Nm on radial 
136 from MNO VOR at 8500 feet altitude. 
At 0200 UTC (1000 LT), the Manado Approach controller asked the pilot the position was 
replied by the pilot that position was 17 Nm from MNO VOR.
At 0205 UTC (1005 LT), the Manado Approach controller called the pilot but there was no 
reply. The last position of the aircraft displayed on the Manado Approach controlled radar 
screen was at coordinate 01 20 55 N 125 07 37 E at approximately 2 miles from the nearest 
coast line.
Weather condition on the area of last contact at 0900 - 1100 LT, based on the satellite 
weather image indicated formations of cumulus and cumulonimbus clouds. The satellite 
image indicated that between 0940 to 1010 LT showed rain with intensity moderate to heavy.
The occupants and the main aircraft wreckage were not recovered. Parts recovered were left 
main landing gear, nose and right main wheel tires, outboard part of left elevator and two 
bags. Investigation utilizes all relevant available information.
The contributing factors of this accident was the aircraft entered into unrecoverable condition 
that might caused by pilot disorientation when flying in Instrument Meteorological Condition 
(IMC).
Based on this investigation, KNKT issue recommendation to PT. Elang Nusantara Air and 
DGCA. "
36, ,KNKT.14.10.24.04,Boeing 737-300,24-Oct-14,Wamena Airport Republic of Indonesia,"On 24 October 2014 a Boeing 737-300 Freighter, registration PK-BBS operated by PT. 
Cardig Air was on scheduled cargo flight. At 03:34 UTC the aircraft departed from Sentani 
Airport (WAJJ) Jayapura to Wamena Airport (WAJW) Papua of Indonesia. 
On board in this flight were two pilots, and 14844 Kg of cargo. The Pilot in Command 
(PIC) acted as Pilot Flying (PF) while the Second in Command (SIC) acted as Pilot 
Monitoring (PM). There was no reported nor recorded that the aircraft had system 
abnormality during the flight until the time of the occurrence. 
At about 15 minutes prior to the occurrence, the weather reported was the wind calm, 
visibility 10 Km and rain insight in the vicinity of the airport. The runway 15 was in used 
and according to the Aeronautical Information Publication (AIP) there was no instrument 
approach procedure and all incoming and departure flights refers to the Visual Flight Rule. 
The aircraft was flown in the proper weight and balance margin and in the estimate landing 
weight of 51.114 kgs, and when approach for landing runway 15 the pilot had selected 
Flap 40° with Vref 133 Knots and auto-brake 3.
The pilot saw the runway was approximately at 700 ft AGL and Wamena Tower informed 
the pilot that cleared to land following an advice that there was no rain on the runway.
At 04.06:16 UTC the aircraft touched down and full reversed thrust was applied. During 
landing roll the pilot did not feel any deceleration and then the pilot applying the manual 
brake and keeping full reverse thrust. The aircraft stopped at the Runway End Safety Area 
(RESA).
The aircraft was taxied from the RESA to the apron by the pilot, and the inspections found 
that number 3 and 4 tires spotted, both engines fan blades and the left side of aircraft 
horizontal stabilizer damaged.
The investigation concluded that the contributing factors of this occurrence was that the 
approach was conducted when the weather was below minima for VFR and required for 
return to Jayapura according to the company SOP and resulted the aircraft touchdown at 
approximately 719 meters beyond the touchdown zone.
At the time of issuing this final report the Komite Nasional Keselamatan Transportasi 
(KNKT) had received safety actions taken by PT. Cardig Air following this serious 
incident. The safety actions consider relevant and KNKT does not issue safety 
recommendation to PT. Cardig Air.
On this final report the Komite Nasional Keselamatan Transportasi (KNKT) issued several 
safety recommendations addressed to Wamena Airport management and Directorate 
General of Civil Aviation (DGCA).

"
37, ,KNKT.14.09.22.04,Cessna 172,19-Sep-14,"Trunojoyo Airport, Sumenep East Java 
Republic of Indonesia ","On 19 September 2014, a Cessna 172 aircraft registration PK-MSN was being operated by 
Merpati Pilot School (MPS). The aircraft performed a training solo flight from Trunojoyo 
Airport, Sumenep to Puteran Training Area and return to Trunojoyo for conducting touch and 
go flight.
There was no report of aircraft abnormalities during the flight in Puteran training area until 
the first touch and go. When conducting the second touch and go, just after airborne the 
Trunojoyo AFIS officer stated that the pilot declared Mayday and acknowledged by the 
Trunojoyo AFIS officer.
The Trunojoyo AFIS officer stated that while reporting emergency situation, the aircraft was 
approximately on altitude 400 feet and turned to the right. The right wing tip hit the ground 
first followed by the nose and fuselage. The aircraft crashed on paddy field at approximately 
500 meters from the end of runway 12. 
The student pilot was fatally injured and the aircraft was substantially damage.
The safety issues identified on this report were associated to the engine performance 
inspection and emergency landing training.
The investigation determined the contributing factors was the instantaneous and explosive 
burning of the fuel/air mixture had led to detonation and caused the engine ran in a degraded 
performance significantly. Such situation required a proper flying skill and judgment
however, the actions deferred when facing to that particular critical condition.
At the time of issuing this report, the Komite Nasional Keselamatan Transportasi had been 
informed of safety actions resulting from the Merpati Pilot School. While the KNKT 
acknowledges the safety actions taken by the Merpati Pilot School, there still remain safety 
issues that need to be considered.
As a result of this investigation, the KNKT issued safety recommendations to address safety 
issues identified in this report to the Merpati Pilot School and Directorate General of Civil 
Aviation."
